Study_Hours,Attendance_Rate,Previous_Score,Sleep_Hours,Extracurricular,Exam_Score
5.1,71.8,72.1,8.0,Yes,61.5
11.5,75.4,90.5,7.1,No,86.0
9.1,94.0,79.4,5.5,No,72.9
7.6,72.7,61.1,5.4,No,54.6
2.7,66.8,57.2,6.6,No,42.2
2.7,82.3,73.9,9.0,No,54.2
1.6,97.4,52.2,6.7,No,42.6
10.5,87.8,90.0,5.2,No,84.2
7.6,82.8,82.2,6.7,No,71.4
8.8,63.9,62.4,6.7,No,68.6
1.2,84.6,47.4,4.0,,27.6
11.7,99.6,84.2,6.9,No,98.6
10.2,65.6,66.6,6.7,Yes,74.7
3.3,80.7,82.9,7.8,No,57.7
3.0,95.1,48.9,9.2,No,45.8
3.0,89.6,60.8,8.4,Yes,52.0
4.3,87.9,68.1,6.7,No,56.3
6.8,,68.6,5.7,Yes,66.3
5.8,,62.6,10.0,Yes,57.6
4.2,71.7,75.5,7.1,No,52.6
7.7,92.4,55.2,7.0,Yes,72.0
2.5,92.4,66.3,7.0,No,51.1
4.2,94.7,69.4,7.2,,60.8
5.0,96.5,74.2,6.8,No,57.9
6.0,80.5,76.5,6.3,Yes,68.7
9.6,80.1,54.5,6.3,Yes,70.8
3.2,91.9,49.6,7.0,No,50.7
6.7,86.0,83.3,6.3,No,58.8
7.5,88.1,72.0,6.1,No,77.7
1.5,91.8,59.0,7.1,Yes,46.3
7.7,95.6,86.6,6.7,No,85.0
2.9,73.5,69.4,8.8,No,41.6
1.7,75.0,82.2,4.0,No,40.6
11.4,63.8,68.8,8.3,Yes,72.3
11.6,83.1,92.7,8.5,No,90.9
9.9,61.4,89.1,4.5,No,76.0
4.4,78.6,65.0,6.6,No,50.3
2.1,81.7,79.7,6.6,Yes,53.2
8.5,71.5,75.7,5.3,No,68.5
5.8,83.6,84.4,6.1,,68.0
2.3,61.2,56.4,5.7,Yes,33.0
,61.5,76.2,9.1,No,57.9
1.4,92.9,80.7,8.1,No,63.5
11.0,74.4,46.9,8.5,Yes,70.1
,65.1,53.8,7.9,Yes,42.8
8.3,80.9,43.5,5.6,No,60.1
4.4,90.8,64.8,6.4,Yes,63.2
6.7,68.6,76.6,7.6,No,66.2
7.0,84.9,86.0,5.5,Yes,75.4
3.0,63.4,68.9,7.9,No,37.4
,62.1,87.5,6.7,Yes,90.1
9.5,81.3,51.4,6.6,No,61.5
11.3,81.6,47.6,7.9,No,74.0
10.8,85.5,67.3,7.5,No,77.8
7.6,89.0,72.6,6.6,No,70.9
11.1,99.0,67.6,8.4,Yes,92.0
2.0,80.7,43.2,5.7,No,33.1
3.2,72.9,66.9,7.7,Yes,50.1
1.5,,52.3,7.7,Yes,50.9
4.6,70.8,76.0,6.6,Yes,57.4
5.3,77.6,72.4,7.4,No,57.2
4.0,63.1,56.7,5.5,No,40.5
10.1,61.0,61.8,8.1,No,69.6
4.9,98.5,55.3,6.8,Yes,56.0
4.1,93.4,67.2,6.4,Yes,62.1
7.0,87.8,79.5,8.3,No,75.2
2.6,,56.2,6.2,Yes,39.9
9.8,66.9,74.0,5.3,No,72.7
1.8,66.3,61.6,5.1,Yes,32.6
11.9,70.0,58.5,7.7,No,74.6
9.5,82.0,66.7,5.5,No,69.4
3.2,88.6,55.6,9.1,Yes,50.1
1.1,86.4,61.4,4.5,Yes,32.5
10.0,71.2,53.6,9.0,No,59.0
8.8,98.2,91.6,7.3,No,95.0
9.0,89.5,68.4,6.9,Yes,74.7
9.5,82.2,59.6,6.3,No,65.4
1.8,84.5,70.6,7.5,Yes,41.3
,76.8,66.7,7.0,Yes,53.6
2.3,69.9,65.3,8.3,No,35.2
10.5,74.2,75.4,7.1,Yes,86.6
7.9,90.3,77.1,7.2,No,79.5
4.6,60.6,61.6,6.6,Yes,42.3
1.7,64.6,61.1,6.9,Yes,45.0
4.4,61.8,64.7,7.4,No,48.5
4.6,61.6,40.4,4.9,Yes,30.7
9.0,94.2,49.8,5.4,No,56.5
8.0,88.1,84.4,7.9,Yes,90.2
10.8,79.0,87.7,7.2,Yes,82.8
6.2,63.9,65.0,6.8,Yes,47.6
2.3,79.7,74.9,7.0,No,52.6
8.8,78.9,71.7,7.4,Yes,84.3
,66.9,100.0,6.4,,84.6
7.2,77.4,81.4,6.1,,69.3
9.5,75.9,66.5,7.2,No,73.1
6.4,84.6,56.5,5.8,,62.3
6.8,85.4,48.7,7.5,No,60.4
,61.8,70.4,5.0,No,47.6
1.3,75.0,58.9,8.2,No,36.7
2.2,85.0,50.9,7.6,No,40.6
1.3,80.1,60.2,7.3,No,36.2
8.0,94.3,55.0,8.2,No,67.8
4.5,86.3,88.2,9.0,Yes,61.0
6.6,66.5,78.6,8.2,Yes,63.1
11.0,62.8,67.9,4.8,No,61.4
3.7,85.7,85.8,5.5,No,53.5
5.5,61.1,68.9,6.3,No,49.3
9.3,83.4,57.7,7.0,No,75.2
3.5,97.6,86.3,7.6,Yes,72.6
1.8,83.0,74.5,6.1,Yes,42.8
4.2,75.5,55.6,7.2,No,41.9
,85.7,65.7,6.1,Yes,53.8
11.2,78.3,57.5,6.3,Yes,71.8
9.9,81.8,51.4,5.3,No,63.8
8.0,97.7,79.1,5.9,Yes,82.5
10.6,75.4,90.9,5.4,No,77.4
9.8,98.4,51.2,5.8,Yes,76.3
3.1,96.2,74.8,8.3,No,53.9
10.8,67.8,60.2,5.9,Yes,67.3
6.9,62.8,62.2,10.0,No,52.6
9.9,64.0,60.9,7.6,Yes,61.0
10.9,60.7,57.6,7.2,Yes,69.7
4.5,63.8,68.6,6.0,Yes,47.5
2.2,87.3,58.0,7.8,No,47.3
,62.8,71.2,6.3,No,43.7
5.7,72.8,67.4,7.1,,63.2
10.0,93.8,65.1,10.0,No,78.7
10.5,60.9,57.1,6.9,No,61.7
1.1,,61.1,8.4,No,44.8
